nlud_simple_code,nlud_simple_class,nlud_simple_subclass,fertilizer,pesticide,irrigation,planting_diversity,mowing,public_access,green_space,building_type
1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1
2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1
3,Waterbody,Artificial,-1,-1,-1,-1,-1,-1,-1,-1
4,Waterbody,Perennial Ice/Snow,-1,-1,-1,-1,-1,-1,-1,-1
11,Residential,Dense urban,0.8,0.8,0.8,0.1,1,-1,-1,-1
12,Residential,Urban,0.8,0.8,0.8,0.3,1,-1,-1,-1
13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1
14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1
15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1
20,Commercial,,0.6,0.6,0.6,0.1,1,0,-1,-1
30,Industrial,,0.1,0.1,0.1,0.1,0.2,0,-1,-1
41,Institutional,Private,0.6,0.4,0.4,0.3,0.8,0,-1,-1
42,Institutional,Public,0.6,0.4,0.4,0.3,0.8,-1,-1,-1
51,Transportation,Airport,-1,-1,-1,-1,1,0,-1,-1
52,Transportation,Road and Rail,-1,-1,-1,-1,1,0,-1,-1
53,Transportation,Other,-1,-1,-1,-1,1,0,-1,-1
60,Other Development,,0.5,0.5,0.5,0.2,0.7,1,1,-1
70,Agriculture,,1,1,1,0,-1,0,-1,-1
80,Rangeland,,-1,-1,-1,0.5,0.3,0,1,-1
90,Extractive/Mining,,-1,-1,-1,-1,-1,0,-1,-1
100,Timber,,-1,-1,-1,-1,0.3,0,1,-1
110,Barren,,-1,-1,-1,-1,-1,0,-1,-1
120,Undifferentiated park,,-1,-1,-1,0.4,0.4,-1,1,-1
131,Developed park,Urban park,0.2,0.1,0.2,0.5,0.5,-1,1,-1
132,Developed park,Golf course,1,1,1,0.2,1,-1,1,-1
133,Developed park,Resort/ski area,-1,-1,-1,-1,-1,-1,1,-1
134,Developed park,Other,-1,-1,-1,-1,-1,-1,1,-1
140,Natural park,,-1,-1,-1,1,-1,-1,1,-1
151,Conservation,Public,-1,-1,-1,1,-1,-1,1,-1
152,Conservation,Public-limited access,-1,-1,-1,1,-1,0.5,1,-1
153,Conservation,Private easement,-1,-1,-1,1,-1,0,1,-1